lade,laded,laden,lades,lading
land,landed,landed,lands,landing
last,lasted,lasted,lasts,lasting
latch,latched,latched,latches,latching
laugh,laughed,laughed,laughs,laughing
lay,laid,laid,lays,laying
lead,led,led,leads,leading
leak,leaked,leaked,leaks,leaking
lean,leant,leant,leans,leaning
leap,leapt,leapt,leaps,leaping
learn,learnt,learnt,learns,learning
leave,left,left,leaves,leaving
leer,leered,leered,leers,leering
lend,lent,lent,lends,lending
let,let,let,lets,letting
lick,licked,licked,licks,licking
lie,lay,lain,lies,lying
lie,lied,lied,lies,lying
lift,lifted,lifted,lifts,lifting
light,lit,lit,lights,lighting
like,liked,liked,likes,liking
limp,limped,limped,limps,limping
listen,listened,listened,listens,listening
live,lived,lived,lives,living
look,looked,looked,looks,looking
lose,lost,lost,loses,losing
love,loved,loved,loves,loving
