take,took,taken,takes,taking
talk,talked,talked,talks,talking
tap,tapped,tapped,taps,tapping
taste,tasted,tasted,tastes,tasting
tax,taxed,taxed,taxes,taxing
teach,taught,taught,teaches,teaching
tear,tore,torn,tears,tearing
tee,teed,teed,tees,teeing
tell,told,told,tells,telling
tempt,tempted,tempted,tempts,tempting
tend,tended,tended,tends,tending
terminate,terminated,terminated,terminates,terminating
terrify,terrified,terrified,terrifies,terrifying
test,tested,tested,tests,testing
thank,thanked,thanked,thanks,thanking
think,thought,thought,thinks,thinking
thrive,throve,thriven,thrives,thriving
throw,threw,thrown,throws,throwing
thrust,thrust,thrust,thrusts,thrusting
thump,thumped,thumped,thumps,thumping
tie,tied,tied,ties,tying
tire,tired,tired,tires,tiring
toss,tossed,tossed,tosses,tossing
touch,touched,touched,touches,touching
train,trained,trained,trains,training
trample,trampled,trampled,tramples,trampling
transfer,transferred,transferred,transfers,transferring
transform,transformed,transformed,transforms,transforming
translate,translated,translated,translates,translating
trap,trapped,trapped,traps,trapping
travel,travelled,travelled,travels,travelling
tread,trod,trodden,treads,treading
treasure,treasured,treasured,treasures,treasuring
treat,treated,treated,treats,treating
tree,treed,treed,trees,treeing
tremble,trembled,trembled,trembles,trembling
triumph,triumphed,triumphed,triumphs,triumphing
trust,trusted,trusted,trusts,trusting
try,tried,tried,tries,trying
turn,turned,turned,turns,turning
type,typed,typed,types,typing
typeset,typeset,typeset,typesets,typesetting
