wake,woke,woken,wakes,waking
walk,walked,walked,walks,walking
wander,wandered,wandered,wanders,wandering
want,wanted,wanted,wants,wanting
warn,warned,warned,warns,warning
waste,wasted,wasted,wastes,wasting
watch,watched,watched,watches,watching
water,watered,watered,waters,watering
wave,waved,waved,waves,waving
wax,waxed,waxed,waxes,waxing
waylay,waylaid,waylaid,waylays,waylaying
wear,wore,worn,wears,wearing
weave,wove,woven,weaves,weaving
wed,wed,wed,weds,wedding
weep,wept,wept,weeps,weeping
weigh,weighed,weighed,weighs,weighing
welcome,welcomed,welcomed,welcomes,welcoming
wend,went,went,wends,wending
wet,wet,wet,wets,wetting
whip,whipped,whipped,whips,whipping
whisper,whispered,whispered,whispers,whispering
win,won,won,wins,winning
wind,wound,wound,winds,winding
wish,wished,wished,wishes,wishing
withdraw,withdrew,withdrawn,withdraws,withdrawing
work,worked,worked,works,working
worry,worried,worried,worries,worrying
worship,worshipped,worshipped,worships,worshipping
wring,wrung,wrung,wrings,wringing
write,wrote,written,writes,writing
